"id","Label"
"0","Andorra"
"1","Albania"
"2","Armenia"
"3","Austria"
"4","Bosnia and Herzegovina"
"5","Belgium"
"6","Bulgaria"
"7","Belarus"
"8","Switzerland"
"9","Cyprus"
"10","Czechia"
"11","Germany"
"12","Denmark"
"13","Estonia"
"14","Spain"
"15","Finland"
"16","France"
"17","United Kingdom of Great Britain and Northern Ireland"
"18","Georgia"
"19","Greece"
"20","Croatia"
"21","Hungary"
"22","Ireland"
"23","Iceland"
"24","Italy"
"25","Liechtenstein"
"26","Lithuania"
"27","Luxembourg"
"28","Latvia"
"29","Monaco"
"30","Moldova (the Republic of)"
"31","Montenegro"
"32","North Macedonia"
"33","Malta"
"34","Netherlands"
"35","Norway"
"36","Poland"
"37","Portugal"
"38","Romania"
"39","Serbia"
"40","Russian Federation"
"41","Sweden"
"42","Slovenia"
"43","Slovakia"
"44","San Marino"
"45","Turkey"
"46","Ukraine"
