"Source","Target","Weight"
"Andorra","France","709"
"Andorra","Spain","493"
"Albania","Greece","500"
"Albania","Montenegro","131"
"Albania","North Macedonia","152"
"Albania","Serbia","390"
"Armenia","Georgia","172"
"Armenia","Turkey","994"
"Austria","Czechia","252"
"Austria","Germany","524"
"Austria","Hungary","214"
"Austria","Italy","765"
"Austria","Liechtenstein","527"
"Austria","Slovakia","55"
"Austria","Slovenia","278"
"Austria","Switzerland","685"
"Bosnia and Herzegovina","Croatia","290"
"Bosnia and Herzegovina","Montenegro","171"
"Bosnia and Herzegovina","Serbia","195"
"Belgium","France","262"
"Belgium","Germany","652"
"Belgium","Luxembourg","187"
"Belgium","Netherlands","138"
"Bulgaria","Greece","524"
"Bulgaria","North Macedonia","174"
"Bulgaria","Romania","292"
"Bulgaria","Serbia","329"
"Bulgaria","Turkey","854"
"Belarus","Latvia","403"
"Belarus","Lithuania","171"
"Belarus","Poland","476"
"Belarus","Russian Federation","677"
"Belarus","Ukraine","434"
"Czechia","Germany","280"
"Czechia","Poland","519"
"Czechia","Slovakia","291"
"Germany","Luxembourg","601"
"Germany","Netherlands","620"
"Germany","Poland","520"
"Germany","Switzerland","752"
"Denmark","Germany","356"
"Estonia","Latvia","279"
"Estonia","Russian Federation","870"
"Finland","Norway","789"
"Finland","Russian Federation","895"
"Finland","Sweden","397"
"France","Germany","878"
"France","Italy","1106"
"France","Luxembourg","287"
"France","Monaco","688"
"France","Spain","1053"
"France","Switzerland","435"
"Georgia","Russian Federation","1645"
"Georgia","Turkey","1025"
"Greece","North Macedonia","485"
"Greece","Turkey","819"
"Croatia","Hungary","300"
"Croatia","Montenegro","457"
"Croatia","Serbia","368"
"Croatia","Slovenia","116"
"Hungary","Romania","645"
"Hungary","Serbia","317"
"Hungary","Slovakia","161"
"Hungary","Slovenia","381"
"Hungary","Ukraine","901"
"Ireland","United Kingdom of Great Britain and Northern Ireland","464"
"Italy","San Marino","226"
"Italy","Slovenia","489"
"Italy","Switzerland","689"
"Liechtenstein","Switzerland","159"
"Lithuania","Poland","393"
"Lithuania","Russian Federation","792"
"Latvia","Lithuania","262"
"Latvia","Russian Federation","844"
"Moldova (the Republic of)","Romania","361"
"Moldova (the Republic of)","Ukraine","400"
"Montenegro","Serbia","281"
"North Macedonia","Serbia","324"
"Norway","Russian Federation","1648"
"Norway","Sweden","417"
"Poland","Russian Federation","1154"
"Poland","Slovakia","532"
"Poland","Ukraine","691"
"Portugal","Spain","502"
"Romania","Serbia","448"
"Romania","Ukraine","751"
"Russian Federation","Ukraine","757"
"Slovakia","Ukraine","1007"
"Italy","Vatican City","4"
